shipmentID,pickupDate,originCity,originStateProvince,originPostalCode,originCountry,destinationCity,destinationStateProvince,destinationPostalCode,destinationCountry,accessorialCodes,classification1,weight1,description1,packagingType1,pieces1,length1,width1,height1,classification2,weight2,description2,packagingType2,pieces2,length2,width2,height2,classification3,weight3,description3,packagingType3,pieces3,length3,width3,height3,classification4,weight4,description4,packagingType4,pieces4,length4,width4,height4,classification5,weight5,description5,packagingType5,pieces5,length5,width5,height5,classification6,weight6,description6,packagingType6,pieces6,length6,width6,height6,classification7,weight7,description7,packagingType7,pieces7,length7,width7,height7,classification8,weight8,description8,packagingType8,pieces8,length8,width8,height8
42,20260512,,,72114,USA,,,27526,USA,,60,350,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
43,20260512,,,72206,USA,,,27526,USA,,100,242,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
44,20260512,,,72442,USA,,,27409,USA,,175,395,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
45,20260512,,,71635,USA,,,43358,USA,,77,1513,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
46,20260512,,,71635,USA,,,78870,USA,,77,385,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
47,20260512,,,85621,USA,,,36535,USA,,175,1725,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
48,20260512,,,85621,USA,,,36752,USA,,70,2260,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
49,20260512,,,85621,USA,,,72160,USA,,70,194,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
50,20260512,,,85009,USA,,,85747,USA,,77,4160.4375,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
51,20260512,,,85009,USA,,,85747,USA,,92,340,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
52,20260512,,,85009,USA,,,85747,USA,,100,2755.066667,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
53,20260512,,,85009,USA,,,85747,USA,,125,2729.851852,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
54,20260512,,,85009,USA,,,85747,USA,,150,1826.428571,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
55,20260512,,,85009,USA,,,85747,USA,,175,2170.863946,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
56,20260512,,,85009,USA,,,85747,USA,,250,734.4545455,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
57,20260512,,,85024,USA,,,85747,USA,,70,1497.214286,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
58,20260512,,,85027,USA,,,85747,USA,,50,1130,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
59,20260512,,,85034,USA,,,85747,USA,,60,3527,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
60,20260512,,,85034,USA,,,85747,USA,,70,1497.214286,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
61,20260512,,,85034,USA,,,85747,USA,,77,4160.4375,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
62,20260512,,,85226,USA,,,85747,USA,,92,322.3278689,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
63,20260512,,,85226,USA,,,85747,USA,,100,334,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
64,20260512,,,85226,USA,,,85747,USA,,125,252,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
65,20260512,,,85281,USA,,,85747,USA,,50,191,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
66,20260512,,,85281,USA,,,85747,USA,,55,331.25,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
67,20260512,,,85281,USA,,,85747,USA,,60,1320.528302,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
68,20260512,,,85281,USA,,,85747,USA,,70,192,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
69,20260512,,,85281,USA,,,85747,USA,,92,189.6666667,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
70,20260512,,,85282,USA,,,85747,USA,,55,331.25,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
71,20260512,,,85282,USA,,,85747,USA,,60,1320.528302,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
72,20260512,,,85282,USA,,,85747,USA,,65,953,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
73,20260512,,,85282,USA,,,85747,USA,,70,192,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
74,20260512,,,85282,USA,,,85747,USA,,77,1447,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
75,20260512,,,85282,USA,,,85747,USA,,150,80,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
76,20260512,,,85353,USA,,,85747,USA,,70,4971.5,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
77,20260512,,,85353,USA,,,85747,USA,,100,3835,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
78,20260512,,,85607,USA,,,85747,USA,,150,424,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
79,20260512,,,85621,USA,,,85040,USA,,70,162.2,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
80,20260512,,,85621,USA,,,85226,USA,,50,3,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
81,20260512,,,85621,USA,,,85226,USA,,60,206.6,Umbrellas,PAT,1,48,40,48,,,Umbrellas,PAT,,,,,,,Umbrellas,,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,,,,Umbrellas,PAT,,,,
